CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
car,0.6679819429912928,0.8886565603763722,0.5912500554936836,0.8464453737584945,0.6306788241615021,0.8683568565952257,0.14970507634404778,0.15150004270027778,0.06880180300456269,0.10201748592150729,0.07730432548340678,0.2547545799859538,0.4669830707153643,0.048752515106873784,0.5687214299606549
truck,0.5449988606728311,0.981578947368421,0.5348160001284056,0.9421052631578947,0.541252320091974,0.9706140350877193,0.12205028830000979,0.1456057994986404,0.01954815157564848,0.04237072122405335,0.0,0.12835746380498342,0.14032408675430755,0.0,0.5360548119618049
bus,0.896000762433589,1.0,0.3399405123012179,0.6893939393939394,0.593334926329462,0.8648989898989901,0.20095209765859207,0.17166576624871882,0.03105391694699194,0.5754172153318966,0.17884235971201132,0.7800675996778128,2.2312795085995405,0.6057547914856043,0.10276198905263786
trailer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
construction_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pedestrian,0.8082757058520553,0.9697750702905341,0.616441556294945,0.8727741330834115,0.7315205451141384,0.9311933770696658,0.12940112360826228,0.23137964550951318,0.20186277715740167,0.18228955934981153,0.09439903767518948,0.33765874250280503,0.8508807773086319,0.04575114333644547,0.6946553829277244
motorcycle,0.46408383078219784,0.8913551401869159,0.46327610488555293,0.8901869158878506,0.46439844366230065,0.8892133956386293,0.23189723977463103,0.2765639166664436,0.24753507128003377,0.04835940287165716,0.0,0.2425457991980091,0.26930809822964114,0.0,0.41063787252636014
bicycle,0.32483367065154406,0.8541666666666666,0.2170462650451206,0.7777777777777778,0.2661640203753168,0.8194444444444444,0.17537321963697414,0.17152061148991438,0.42329463117282257,0.36735658059561366,0.0,0.4839027608757423,1.1082546115169527,0.2773737205906136,0.13118795512364056
traffic_cone,0.13113708599439175,0.6857142857142857,0.13113708599439175,0.6857142857142857,0.13113708599439175,0.6857142857142858,0.07818143550397169,0.2996934425324777,,,,0.07045544397939686,0.06873674458275007,0.0,0.12704961323087344
barrier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0
