CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
car,0.6652635959398656,0.8980658651332984,0.0,0.08376894929430215,0.0,0.09631468897020387,0.14839271393352263,0.15126658908107476,0.08826314634436039,0.11389732174381778,0.06699202101828304,0.1629505678841792,0.34641914130272555,0.037070699901093025,0.5914205022419343
truck,0.5138315531276598,0.9710526315789474,0.16540334967957293,0.8131578947368421,0.1853427536680789,0.868421052631579,0.1427387717014076,0.13170165521961766,0.017012182148243175,0.04507782262951127,0.0,0.14097170670659265,0.1389331909678204,0.0,0.5045568001762835
bus,0.8862757391745644,1.0,0.28961265528554986,0.6287878787878788,0.5879441972300571,0.8143939393939394,0.26319378484191885,0.15244300111362505,0.024609784999664118,0.28561504268134635,0.2579674578158111,0.2918268737420703,1.4226485738950856,0.4657462966348962,0.19997291673742246
trailer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
construction_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pedestrian,0.8103398687598159,0.9690721649484536,0.0013064566229612357,0.19189315838800375,0.00134349372098963,0.21872071227741333,0.13868940175828304,0.22595993948773635,0.25427998378534494,0.18577984366265432,0.09471633512379238,0.16512605389096463,0.5249355293025265,0.002670416831076302,0.7816815221561714
motorcycle,0.4890644663115317,0.9042056074766356,0.031302044195407996,0.6203271028037384,0.033749347442331615,0.6320093457943925,0.23318529706197166,0.27756924108770387,0.28405981197689284,0.05262456297387568,0.004826161896435699,0.2317160461433915,0.23143875712125556,0.0,0.44209266638287636
bicycle,0.2622594070590196,0.9305555555555556,0.005606827350890196,0.5416666666666666,0.019101085450516607,0.7013888888888888,0.19351151951800763,0.15075189108928289,0.16267559875571255,0.27850688610346036,0.0,0.2374575205922833,1.6938143325889712,0.512939984088682,0.01884806710239801
traffic_cone,0.153744294039939,0.7642857142857142,0.08299271512782075,0.6357142857142857,0.09941833868158545,0.6785714285714286,0.10485972901864908,0.29148852488638677,,,,0.1044758396833465,0.10303979911861752,0.0,0.1467482131408761
barrier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0
